timesteps,ep_env_score_mean,ep_rm_score_mean,ep_cushion_mean,ep_foul_rate,queries_used_so_far,rm_train_loss,relabel_delta_mean,relabel_delta_std
312,0.0,nan,1.91,0.18,0,nan,0.0,0.0
624,0.0,nan,1.86,0.13,0,nan,0.0,0.0
936,0.0,nan,1.99,0.18,0,nan,0.0,0.0
1248,0.01,nan,2.04,0.16,0,nan,0.0,0.0
1560,0.02,nan,1.68,0.07,0,nan,0.0,0.0
1872,0.01,nan,1.87,0.2,0,nan,0.0,0.0
2184,0.0,nan,2.03,0.16,0,nan,0.0,0.0
2496,0.02,nan,1.6,0.17,0,nan,0.0,0.0
2808,0.0,nan,1.98,0.14,0,nan,0.0,0.0
3120,0.0,nan,2.21,0.2,0,nan,0.0,0.0
3432,0.01,nan,1.71,0.17,0,nan,0.0,0.0
3744,0.0,nan,1.98,0.16,0,nan,0.0,0.0
4056,0.01,nan,1.84,0.17,0,nan,0.0,0.0
4368,0.01,nan,2.14,0.1,0,nan,0.0,0.0
4680,0.0,nan,1.78,0.11,0,nan,0.0,0.0
4992,0.0,nan,1.62,0.17,0,nan,0.0,0.0
5304,0.0,nan,1.73,0.15,0,nan,0.0,0.0
5616,0.0,nan,1.63,0.12,0,nan,0.0,0.0
5928,0.01,nan,2.21,0.17,0,nan,0.0,0.0
6240,0.0,nan,1.64,0.14,0,nan,0.0,0.0
6552,0.01,nan,1.81,0.16,0,nan,0.0,0.0
6864,0.01,nan,1.96,0.14,0,nan,0.0,0.0
7176,0.01,nan,1.68,0.24,0,nan,0.0,0.0
7488,0.01,nan,1.66,0.17,0,nan,0.0,0.0
7800,0.0,nan,2.11,0.16,0,nan,0.0,0.0
8112,0.0,nan,1.66,0.16,0,nan,0.0,0.0
8424,0.01,nan,1.53,0.13,0,nan,0.0,0.0
8736,0.0,nan,1.61,0.16,0,nan,0.0,0.0
9048,0.01,nan,2.08,0.17,0,nan,0.0,0.0
9360,0.02,nan,1.5,0.17,0,nan,0.0,0.0
9672,0.03,nan,2.02,0.16,0,nan,0.0,0.0
9984,0.0,nan,1.96,0.16,0,nan,0.0,0.0
10296,0.01,nan,1.83,0.16,0,nan,0.0,0.0
10608,0.01,nan,1.82,0.12,0,nan,0.0,0.0
10920,0.03,nan,2.06,0.15,0,nan,0.0,0.0
11232,0.0,nan,2.04,0.1,0,nan,0.0,0.0
11544,0.0,nan,1.87,0.17,0,nan,0.0,0.0
11856,0.0,nan,2.16,0.12,0,nan,0.0,0.0
12168,0.02,nan,2.03,0.16,0,nan,0.0,0.0
12480,0.0,nan,1.98,0.16,0,nan,0.0,0.0
12792,0.01,nan,2.31,0.16,0,nan,0.0,0.0
13104,0.0,nan,1.77,0.1,0,nan,0.0,0.0
13416,0.01,nan,2.23,0.18,0,nan,0.0,0.0
13728,0.01,nan,2.17,0.13,0,nan,0.0,0.0
14040,0.0,nan,2.34,0.12,0,nan,0.0,0.0
14352,0.01,nan,2.51,0.12,0,nan,0.0,0.0
14664,0.02,nan,2.22,0.19,0,nan,0.0,0.0
14976,0.0,nan,2.58,0.22,0,nan,0.0,0.0
15288,0.02,nan,2.76,0.17,0,nan,0.0,0.0
15600,0.0,nan,2.63,0.24,0,nan,0.0,0.0
15912,0.02,nan,2.62,0.21,0,nan,0.0,0.0
16224,0.0,nan,2.72,0.15,0,nan,0.0,0.0
16536,0.01,nan,3.32,0.23,0,nan,0.0,0.0
16848,0.02,nan,3.26,0.2,0,nan,0.0,0.0
17160,0.02,nan,3.61,0.24,0,nan,0.0,0.0
17472,0.02,nan,3.11,0.13,0,nan,0.0,0.0
17784,0.01,nan,3.02,0.24,0,nan,0.0,0.0
18096,0.22,nan,2.73,0.1,0,nan,0.0,0.0
18408,0.13,nan,2.92,0.14,0,nan,0.0,0.0
18720,0.27,nan,2.63,0.09,0,nan,0.0,0.0
19032,0.31,nan,2.29,0.06,0,nan,0.0,0.0
19344,0.3,nan,2.51,0.05,0,nan,0.0,0.0
19656,0.27,nan,2.54,0.15,0,nan,0.0,0.0
19968,0.42,nan,2.5,0.07,0,nan,0.0,0.0
20280,0.41,nan,2.67,0.14,0,nan,0.0,0.0
20592,0.41,nan,2.51,0.03,0,nan,0.0,0.0
20904,0.47,nan,2.56,0.03,0,nan,0.0,0.0
21216,0.42,nan,2.35,0.05,0,nan,0.0,0.0
21528,0.63,nan,2.6,0.02,0,nan,0.0,0.0
21840,0.63,nan,2.75,0.04,0,nan,0.0,0.0
22152,0.88,nan,2.62,0.03,0,nan,0.0,0.0
22464,0.68,nan,2.79,0.03,0,nan,0.0,0.0
22776,0.86,nan,2.44,0.0,0,nan,0.0,0.0
23088,0.83,nan,2.36,0.0,0,nan,0.0,0.0
23400,0.88,nan,2.55,0.0,0,nan,0.0,0.0
23712,0.98,nan,2.16,0.0,0,nan,0.0,0.0
24024,0.92,nan,2.18,0.0,0,nan,0.0,0.0
24336,0.95,nan,2.12,0.0,0,nan,0.0,0.0
24648,0.97,nan,2.03,0.0,0,nan,0.0,0.0
24960,0.97,nan,2.06,0.0,0,nan,0.0,0.0
25272,0.98,nan,2.11,0.0,0,nan,0.0,0.0
25584,0.96,nan,2.05,0.0,0,nan,0.0,0.0
25896,0.98,nan,2.12,0.0,0,nan,0.0,0.0
26208,0.94,nan,2.26,0.0,0,nan,0.0,0.0
26520,0.99,nan,2.21,0.0,0,nan,0.0,0.0
26832,0.95,nan,2.27,0.0,0,nan,0.0,0.0
27144,0.94,nan,2.37,0.0,0,nan,0.0,0.0
27456,0.92,nan,2.33,0.01,0,nan,0.0,0.0
27768,0.92,nan,2.45,0.0,0,nan,0.0,0.0
28080,0.92,nan,2.35,0.01,0,nan,0.0,0.0
28392,0.93,nan,2.33,0.0,0,nan,0.0,0.0
28704,0.92,nan,2.31,0.0,0,nan,0.0,0.0
29016,0.87,nan,2.34,0.0,0,nan,0.0,0.0
29328,0.91,nan,2.32,0.0,0,nan,0.0,0.0
29640,0.84,nan,2.43,0.0,0,nan,0.0,0.0
29952,0.86,nan,2.38,0.0,0,nan,0.0,0.0
